external_compound_id,tautomer_family_key,development_compound_ids_json,in_primary_external,removed_from_tautomer_sensitivity
CMP:BGNXCDMCOKJUMV-UHFFFAOYSA-N,TAU:98bfb5eee720655584c2e8b8d4a897702defde13cc22b43b598e4d3554f89d3c,"[""CMP:BGNXCDMCOKJUMV-UHFFFAOYSA-N""]",false,false
CMP:BGPPUXMKKQMWLV-UHFFFAOYSA-N,TAU:818110bd0d6d78a7945e652f0d5fe28b15a3829574b2af4bbc4acd85120ede02,"[""CMP:BGPPUXMKKQMWLV-UHFFFAOYSA-N""]",false,false
CMP:BGRDGMRNKXEXQD-UHFFFAOYSA-N,TAU:24949b3e5cc90a386c3e86f117987d06a0331abf1fbfd5859da6a403ded15ffe,"[""CMP:BGRDGMRNKXEXQD-UHFFFAOYSA-N""]",false,false
CMP:BIWJNBZANLAXMG-UHFFFAOYSA-N,TAU:329f99b59ac184482bf26da18e4a26822f15ac9100f917cad69a8c961c05f491,"[""CMP:BIWJNBZANLAXMG-UHFFFAOYSA-N""]",false,false
CMP:BIWJNBZANLAXMG-YQELWRJZSA-N,TAU:329f99b59ac184482bf26da18e4a26822f15ac9100f917cad69a8c961c05f491,"[""CMP:BIWJNBZANLAXMG-UHFFFAOYSA-N""]",false,false
CMP:BIXZHMJUSMUDOQ-UHFFFAOYSA-N,TAU:e9e216a04317b8eb080f88214fb7142e7e27c7a90e22506485334c82b18a0f1e,"[""CMP:BIXZHMJUSMUDOQ-UHFFFAOYSA-N""]",false,false
CMP:BJQHLKABXJIVAM-UHFFFAOYSA-N,TAU:95fae3fbf31cf8bdcb3cc93113fa4321bbafdc19f29223c69ac7ca99cf69d2ff,"[""CMP:BJQHLKABXJIVAM-UHFFFAOYSA-N""]",false,false
CMP:BJUPUKIYTMVLCW-ONNFQVAWSA-N,TAU:977a4e65b55ecd16af60a1c7a285c719975fedd0e3b7cbb1e3b3009302f5fef8,"[""CMP:BJUPUKIYTMVLCW-ONNFQVAWSA-N""]",false,false
CMP:BLQOLXMZXQXGOL-UHFFFAOYSA-N,TAU:a85526a4a505cf92b9c57f61ef1c9761c01f3fe2fd6f7b36757be7a8e699f754,"[""CMP:BLQOLXMZXQXGOL-UHFFFAOYSA-N""]",false,false
CMP:BMIPMKQAAJKBKP-UHFFFAOYSA-N,TAU:fa0f086c063b22fcd21fdfb8682375f21aa0c73a15c21896c7e421f525a62974,"[""CMP:BMIPMKQAAJKBKP-UHFFFAOYSA-N""]",false,false
CMP:BMKDZUISNHGIBY-UHFFFAOYSA-N,TAU:34188e0e77440001e52c2631f0ae95b635f17c263e9391bdb07ee4749476fd3c,"[""CMP:BMKDZUISNHGIBY-UHFFFAOYSA-N""]",false,false
CMP:BMKDZUISNHGIBY-ZETCQYMHSA-N,TAU:34188e0e77440001e52c2631f0ae95b635f17c263e9391bdb07ee4749476fd3c,"[""CMP:BMKDZUISNHGIBY-UHFFFAOYSA-N""]",false,false
CMP:BMLIZLVNXIYGCK-UHFFFAOYSA-N,TAU:700896972eac8d3aa9e7c763e67135add7b3ef2a9cdd265af4d16404f56a3291,"[""CMP:BMLIZLVNXIYGCK-UHFFFAOYSA-N""]",false,false
CMP:BMTAFVWTTFSTOG-UHFFFAOYSA-N,TAU:64d303a5f8df0faf7d813bf4f29203815256505807b5e4412087970b5f202b63,"[""CMP:BMTAFVWTTFSTOG-UHFFFAOYSA-N""]",false,false
CMP:BNIXVQGCZULYKV-UHFFFAOYSA-N,TAU:8b6949160d91bf78330b4bf51d5448b63859c602d5df58492392130c10db58be,"[""CMP:BNIXVQGCZULYKV-UHFFFAOYSA-N""]",false,false
CMP:BOUGCJDAQLKBQH-UHFFFAOYSA-N,TAU:4dcdf0712ccf32ec4a84fc13e69c584300e71c93ef6f28513e02fc37e5252fff,"[""CMP:BOUGCJDAQLKBQH-UHFFFAOYSA-N""]",false,false
CMP:BPLBGHOLXOTWMN-MBNYWOFBSA-N,TAU:b43af419a855c3bd4b01b8dec9bb3cdd2f58024cf9bbdfc58d0e4343b71e4a6e,"[""CMP:BPLBGHOLXOTWMN-MBNYWOFBSA-N""]",false,false
CMP:BQCIDUSAKPWEOX-UHFFFAOYSA-N,TAU:770e7e0b8b2ee42926c043673408b14839569ac1f7fb62b78692e129062ce28a,"[""CMP:BQCIDUSAKPWEOX-UHFFFAOYSA-N""]",false,false
CMP:BQDAFHDHPLPCLC-UHFFFAOYSA-N,TAU:e880be1cce23e255968fe3ca9fb9d10c7c76522bb0411946a88ed41d5bdb93fa,"[""CMP:BQDAFHDHPLPCLC-UHFFFAOYSA-N""]",false,false
CMP:BRLQWZUYTZBJKN-GSVOUGTGSA-N,TAU:8a7f3be34cd7ec404661e657fa72b1f710c126d648fd3087ab7593f210ef7db3,"[""CMP:BRLQWZUYTZBJKN-UHFFFAOYSA-N""]",false,false
CMP:BRLQWZUYTZBJKN-UHFFFAOYSA-N,TAU:8a7f3be34cd7ec404661e657fa72b1f710c126d648fd3087ab7593f210ef7db3,"[""CMP:BRLQWZUYTZBJKN-UHFFFAOYSA-N""]",false,false
CMP:BRLQWZUYTZBJKN-VKHMYHEASA-N,TAU:8a7f3be34cd7ec404661e657fa72b1f710c126d648fd3087ab7593f210ef7db3,"[""CMP:BRLQWZUYTZBJKN-UHFFFAOYSA-N""]",false,false
CMP:BRWIZMBXBAOCCF-UHFFFAOYSA-N,TAU:a99406e8be01bf7cd63c451d95c68ca9fa9572d6db0be9c5d1a43e3dea4555f2,"[""CMP:BRWIZMBXBAOCCF-UHFFFAOYSA-N""]",false,false
CMP:BSPCSKHALVHRSR-UHFFFAOYSA-N,TAU:8b2e7af1febea1f34cddb167a614faa2351c51058ea796a5a7673283abcc0cf8,"[""CMP:BSPCSKHALVHRSR-UHFFFAOYSA-N""]",false,false
CMP:BSYNRYMUTXBXSQ-UHFFFAOYSA-N,TAU:56de9fefcf1645df78a35f02ff437bcf080afd064ee8d85dd7e9a2c5c5e7b6db,"[""CMP:BSYNRYMUTXBXSQ-UHFFFAOYSA-N""]",false,false
CMP:BTAGRXWGMYTPBY-UHFFFAOYSA-N,TAU:ff0f3c91ea33caf9d83d94c3531d95bf07ec32cf43b16459264af40ee8e1215d,"[""CMP:BTAGRXWGMYTPBY-UHFFFAOYSA-N""]",false,false
CMP:BTGRAWJCKBQKAO-UHFFFAOYSA-N,TAU:5b1697cec2b5ad4ac4fb8c87cf98c4314d208bf3c1817f746e91160efe648086,"[""CMP:BTGRAWJCKBQKAO-UHFFFAOYSA-N""]",false,false
CMP:BTJIUGUIPKRLHP-UHFFFAOYSA-N,TAU:45b4bf14191c6d24b6bd8bd3e6d7b8759b2673190f50833cbf53ac9bcd7f362a,"[""CMP:BTJIUGUIPKRLHP-UHFFFAOYSA-N""]",false,false
CMP:BTLXPCBPYBNQNR-UHFFFAOYSA-N,TAU:37066c25cfdc10bdd76eb42c9962cfbcae4f5f3b7245f4a4915a4caaf4b1fd8c,"[""CMP:BTLXPCBPYBNQNR-UHFFFAOYSA-N""]",false,false
CMP:BUMHFBGBXFTGJZ-UHFFFAOYSA-N,TAU:3520a53ebdea7e89ca49556e3c69d1d70908f06de9a8c91eb745e9fa6be2eade,"[""CMP:BUMHFBGBXFTGJZ-UHFFFAOYSA-N""]",false,false
CMP:BUXVIXBGMQXWGT-UHFFFAOYSA-N,TAU:352a7655365049e3e9043182dfeb2a69196cd9aa5bb5b8609c9202801a24c46c,"[""CMP:BUXVIXBGMQXWGT-UHFFFAOYSA-N""]",false,false
CMP:BXFOFFBJRFZBQZ-QYWOHJEZSA-N,TAU:971b8933e73ac940487df1bfc7c89f21c94d3636aed2aa945f7cb87a4fea39eb,"[""CMP:BXFOFFBJRFZBQZ-QYWOHJEZSA-N""]",false,false
CMP:BXIVHTWXKYBJEM-UHFFFAOYSA-N,TAU:1ca0f433370f4ae5104f3d3f5f7cc97ed035a58e59c5650f23c740ea48d3760b,"[""CMP:BXIVHTWXKYBJEM-UHFFFAOYSA-N""]",false,false
CMP:BXIXXXYDDJVHDL-UHFFFAOYSA-N,TAU:c21cb18ec7199e1a4146b35ed089176f53410026f256885318342085aa7ab6e1,"[""CMP:BXIXXXYDDJVHDL-UHFFFAOYSA-N""]",false,false
CMP:BXNANOICGRISHX-UHFFFAOYSA-N,TAU:b573dab2ad092d529ed9d06f9c5aaa9ecd48e0e1e03008bc64cb9d495bc21241,"[""CMP:BXNANOICGRISHX-UHFFFAOYSA-N""]",false,false
