connectivity_key,contribution_type,contributor_id,source_dataset
BMIPMKQAAJKBKP,excluded_record_component,REC:3fff93cdb17c9af5f810fa711704e8b3505838a20835f27bf0c2133cceb60f11,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:4c3591134f6080b853a4b266a9cfaba17c020c5258218d774949a33894d82a96,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:5dc02b1e72df3a19867d9bb1c16a6cf2c3458e6f04670f1dfc96f44f68e0899b,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:87e52211e9a06f7a2e58352204d497a923b23363a9016bb13f34bcbefebf5c5f,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:ba7a9d1f2669a73a813ebede15987f90bca52842e87973c4a8730e811ef76c29,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:bf6fc023a983392bc718c599ac45d7eb8a1efec8f33a66638ace21d98e717082,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:cd424f5056cdb3acadafefbcbd769e0e0d442de2f5413a937fd156694e46a723,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:d9f3bea6a4d5e4a70db9edbc8feba943cf468ac90dfb4ff7d0681981103a781b,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:e352619e79496ffabb74149c37f74c6381a6035d169ba1ff93bef7f0fdcf9b86,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:e35b9e8274fa8c332e288e4277fd83f75ba553e54c74642728802082653c4376,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:f7d2168dd3a28ad72818dff4f06c08c5cec31ec109bd0abff7562ed1880f09c3,cpdb
BMIPMKQAAJKBKP,excluded_record_component,REC:fa3691c39291ddc1a37197805b3be9ea0fc28e9be1238b7e8115a767f9f32a53,cpdb
BMKDZUISNHGIBY,compound_role,CMP:BMKDZUISNHGIBY-UHFFFAOYSA-N,cpdb
BMLIZLVNXIYGCK,compound_role,CMP:BMLIZLVNXIYGCK-UHFFFAOYSA-N,cpdb
BMTAFVWTTFSTOG,compound_role,CMP:BMTAFVWTTFSTOG-UHFFFAOYSA-N,iris
BNIXVQGCZULYKV,compound_role,CMP:BNIXVQGCZULYKV-UHFFFAOYSA-N,cpdb
BODKAQWWZBLGOU,excluded_record_component,REC:03bc7178d6a470d56075b7eb1470f1af2283058b5ef689191c30396aa5cca77e,cpdb
