source,label_raw,label_category,label_candidate,label_reason,count
ccris,"Positive (However, no lung adenomas or forestomach papillomas found. Parp-1 deficiency (Parp-1-/- or Parp-1+/-) did not affect susceptibility of the mice to IQ carcinogenicity)",uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Malignant mesothelioma) (NTP reports as Some Evidence); Mononuclear cell leukemia results described by NTP as equivocal.,uncertain,positive,带限制性描述的结果,1
ccris,Positive (NTP describes as Clear Evidence),uncertain,positive,未纳入严格白名单的带方向结果,3
ccris,Positive (NTP describes as Some Evidence),uncertain,positive,带限制性描述的结果,4
ccris,Positive (NTP describes as Some Evidence); NTP describes results in liver as equivocal evidence,uncertain,positive,带限制性描述的结果,1
ccris,Positive (NTP reports as Clear Evidence),uncertain,positive,未纳入严格白名单的带方向结果,3
ccris,Positive (NTP reports as Some Evidence),uncertain,positive,带限制性描述的结果,1
ccris,"Positive (NTP reports as Some Evidence; Findings in lung, pancreas, and uterus described as equivocal.)",uncertain,positive,带限制性描述的结果,1
ccris,Positive (No lung adenomas or forestomach papillomas found). Parp-1 deficiency (Parp-1-/- or Parp-1+/-) did not affect susceptibility of the mice to IQ carcinogenicity.,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Only at highest dose),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Purity 99.3%; Study details not given in source; MTD may have been exceeded),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Purity 99.3%; Study details not given in source; Neoplastic lesions could not be duplicated in a study using p53 knockout mice; Bigot-Lasserre et al; Fd Chem Toxicol 14 (2003) 99-106),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Purity >99%; study details not given in source),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Purity of 89%; Study details  not given in source),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Results not described separately for each sex),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Significant increase at all dose levels at PND 50; significant at 2.5 ug at PND 95,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Significant increase in tumor incidence and multiplicity in knockout mice administered carcinogen compared to knockout controls and carcinogen-treated wild type mice),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Study details not given in source),uncertain,positive,未纳入严格白名单的带方向结果,4
ccris,Positive (Study details not given in source) Purity 99%,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Study details not given in source; purity 96.2%),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (Weak response),uncertain,positive,带限制性描述的结果,1
ccris,Positive (as evaluated by CA DPR; study details not given in source; purity 97.7%,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (for lymphoma only at high does) (NTP describes results as Some Evidence),uncertain,positive,带限制性描述的结果,1
ccris,Positive (some of the p values do not reach significance.) Authors describe as clear evidence.,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (statistically significant only at 25 mg/kg dose) (NTP describes as Some Evidence),uncertain,positive,带限制性描述的结果,1
ccris,Positive (statistically significant trend but not incidence); Purity 97%,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive (surviving offspring exhibited 100% incidence with multiplicity of approximately 15; offspring exposed only in utero had greater lung tumor multiplicity than those exposed only through nursing). Breeding to provide litters comprised of half ahr(b-1/d) and half ahr (d/d) siblings,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,"Positive Trend (not statistically significant); For stop study vs. controls, incidence in liver, lung and uterus same as controls. NTP reports results as some evidence.",uncertain,positive,带限制性描述的结果,1
ccris,Positive Trend for Renal tubule adenoma (NTP describes as Some Evidence); Mononuclear cell leukemia findings described by NTP as equivocal,uncertain,positive,带限制性描述的结果,1
ccris,Positive at 0.4 mg/cu m only; Negative for lung tumors. Authors noted that these results were replicated in studies of nickel sulfate,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive at 0.4 mg/cu m only; Negative for lung tumors. Increase in pheochromocytomas was within the range for historical controls,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive at high dose only; Purity 94.4%,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive at highest dose (CA DPR describes as possible adverse effect; study details not given in source),uncertain,positive,带限制性描述的结果,1
ccris,Positive at the high dose level (Purity 99%; Study details not given in source),uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,"Positive but at 2 lower doses, there was a negative trend for the mammary tumors (NTP describes the results as Some Evidence)",uncertain,positive,带限制性描述的结果,1
ccris,Positive for malignant tumors only (p=0.02). DNA adducts observed in mammary gland DNA collected 24 hr after last dosing.,uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,Positive trend (not statistically significant) (NTP reports as Some Evidence),uncertain,positive,带限制性描述的结果,1
ccris,Positive without dose response (CA DPR describes as possible adverse effect); study details not given in report,uncertain,positive,带限制性描述的结果,1
ccris,"Positive, (Neither tumor type, alone, was statistically significant.)",uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,"Positive, Authors describe as clear evidence of carcinogenic activity",uncertain,positive,未纳入严格白名单的带方向结果,4
ccris,"Positive, Authors described results as clear evidence of carcinogenic activity",uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,"Positive, Authors described results as equivocal evidence of carcinogenic activity",uncertain,positive,带限制性描述的结果,1
ccris,"Positive, Muraglitazar reported to be a peroxisome proliferator-activated receptor alpha/gamma agonist.",uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,"Positive, Positive trend; significant increase in high dose group; exposure levels well above industrial exposures.",uncertain,positive,未纳入严格白名单的带方向结果,1
ccris,"Positive, low incidence of benign tumors.",uncertain,positive,未纳入严格白名单的带方向结果,2
ccris,Positive. (Authors describe as clear evidence),uncertain,positive,未纳入严格白名单的带方向结果,3
ccris,Positive. (CA Department of Pesticide Regulation reviewer evaluates as a possible adverse effect.),uncertain,positive,带限制性描述的结果,3
ccris,Positive. (Department of Pesticides Regulation reviewer described as a possible adverse effect.),uncertain,positive,带限制性描述的结果,1
ccris,Positive. (Department of Pesticides Regulation reviewer describes as a possible adverse effect.),uncertain,positive,带限制性描述的结果,1
ccris,Positive. (Department of Pesticides Regulation reviewer describes as possible adverse effect),uncertain,positive,带限制性描述的结果,1
ccris,Positive. Authors describe as clear evidence,uncertain,positive,未纳入严格白名单的带方向结果,2
